Date,AWHNONAG,CES9091000001,CEU0500000003,LNS13023622,LNS13023654,LNS13023706,LNS13026511,MARTSMPCSM44000USS,MNFCTRIRSA,MNFCTRMPCIMSA,MNFCTRMPCSMSA,MPCT00XXS,MPCTNRXXS,MPCTXXXXS,MVPHGFD027MNFRBDAL,PAYEMS,UNEMPLOY,USGOVT,USPRIV
2/1/87,34.9,3064,NaN,48.5,12.6,13.1,35.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1768.3,100915,7865,17036,83879
2/2/87,34.9,3064,NaN,48.5,12.6,13.1,35.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1768.3,100915,7865,17036,83879
2/3/87,34.9,3064,NaN,48.5,12.6,13.1,35.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1768.3,100915,7865,17036,83879
2/4/87,34.9,3064,NaN,48.5,12.6,13.1,35.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1768.3,100915,7865,17036,83879
2/5/87,34.9,3064,NaN,48.5,12.6,13.1,35.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1768.3,100915,7865,17036,83879
2/6/87,34.9,3064,NaN,48.5,12.6,13.1,35.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1768.3,100915,7865,17036,83879
2/7/87,34.9,3064,NaN,48.5,12.6,13.1,35.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1768.3,100915,7865,17036,83879
2/8/87,34.9,3064,NaN,48.5,12.6,13.1,35.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1768.3,100915,7865,17036,83879
2/9/87,34.9,3064,NaN,48.5,12.6,13.1,35.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1768.3,100915,7865,17036,83879
2/10/87,34.9,3064,NaN,48.5,12.6,13.1,35.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1768.3,100915,7865,17036,83879
2/11/87,34.9,3064,NaN,48.5,12.6,13.1,35.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1768.3,100915,7865,17036,83879
2/12/87,34.9,3064,NaN,48.5,12.6,13.1,35.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1768.3,100915,7865,17036,83879
2/13/87,34.9,3064,NaN,48.5,12.6,13.1,35.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1768.3,100915,7865,17036,83879
2/14/87,34.9,3064,NaN,48.5,12.6,13.1,35.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1768.3,100915,7865,17036,83879
2/15/87,34.9,3064,NaN,48.5,12.6,13.1,35.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1768.3,100915,7865,17036,83879
2/16/87,34.9,3064,NaN,48.5,12.6,13.1,35.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1768.3,100915,7865,17036,83879
2/17/87,34.9,3064,NaN,48.5,12.6,13.1,35.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1768.3,100915,7865,17036,83879
2/18/87,34.9,3064,NaN,48.5,12.6,13.1,35.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1768.3,100915,7865,17036,83879
2/19/87,34.9,3064,NaN,48.5,12.6,13.1,35.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1768.3,100915,7865,17036,83879
2/20/87,34.9,3064,NaN,48.5,12.6,13.1,35.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1768.3,100915,7865,17036,83879
2/21/87,34.9,3064,NaN,48.5,12.6,13.1,35.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1768.3,100915,7865,17036,83879
2/22/87,34.9,3064,NaN,48.5,12.6,13.1,35.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1768.3,100915,7865,17036,83879
2/23/87,34.9,3064,NaN,48.5,12.6,13.1,35.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1768.3,100915,7865,17036,83879
2/24/87,34.9,3064,NaN,48.5,12.6,13.1,35.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1768.3,100915,7865,17036,83879
2/25/87,34.9,3064,NaN,48.5,12.6,13.1,35.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1768.3,100915,7865,17036,83879
2/26/87,34.9,3064,NaN,48.5,12.6,13.1,35.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1768.3,100915,7865,17036,83879
2/27/87,34.9,3064,NaN,48.5,12.6,13.1,35.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1768.3,100915,7865,17036,83879
2/28/87,34.9,3064,NaN,48.5,12.6,13.1,35.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1768.3,100915,7865,17036,83879
3/1/87,34.7,3072,NaN,48.2,12.5,12.6,35.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1756,101164,7862,17064,84100
3/2/87,34.7,3072,NaN,48.2,12.5,12.6,35.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1756,101164,7862,17064,84100
3/3/87,34.7,3072,NaN,48.2,12.5,12.6,35.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1756,101164,7862,17064,84100
3/4/87,34.7,3072,NaN,48.2,12.5,12.6,35.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1756,101164,7862,17064,84100
3/5/87,34.7,3072,NaN,48.2,12.5,12.6,35.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1756,101164,7862,17064,84100
3/6/87,34.7,3072,NaN,48.2,12.5,12.6,35.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1756,101164,7862,17064,84100
3/7/87,34.7,3072,NaN,48.2,12.5,12.6,35.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1756,101164,7862,17064,84100
3/8/87,34.7,3072,NaN,48.2,12.5,12.6,35.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1756,101164,7862,17064,84100
3/9/87,34.7,3072,NaN,48.2,12.5,12.6,35.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1756,101164,7862,17064,84100
3/10/87,34.7,3072,NaN,48.2,12.5,12.6,35.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1756,101164,7862,17064,84100
3/11/87,34.7,3072,NaN,48.2,12.5,12.6,35.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1756,101164,7862,17064,84100
3/12/87,34.7,3072,NaN,48.2,12.5,12.6,35.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1756,101164,7862,17064,84100
