Date,AWHNONAG,CES9091000001,CEU0500000003,LNS13023622,LNS13023654,LNS13023706,LNS13026511,MARTSMPCSM44000USS,MNFCTRIRSA,MNFCTRMPCIMSA,MNFCTRMPCSMSA,MPCT00XXS,MPCTNRXXS,MPCTXXXXS,MVPHGFD027MNFRBDAL,PAYEMS,UNEMPLOY,USGOVT,USPRIV,MORTGAGE15US,MORTGAGE30US,CMRMTSPL,INDPRO,W875RX1
2/1/87,34.9,3064,NaN,48.5,12.6,13.1,35.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1768.3,100915,7865,17036,83879,NaN,9.08,699638.654,58.4361,6150.3
2/2/87,34.9,3064,NaN,48.5,12.6,13.1,35.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1768.3,100915,7865,17036,83879,NaN,9.08,699638.654,58.4361,6150.3
2/3/87,34.9,3064,NaN,48.5,12.6,13.1,35.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1768.3,100915,7865,17036,83879,NaN,9.08,699638.654,58.4361,6150.3
2/4/87,34.9,3064,NaN,48.5,12.6,13.1,35.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1768.3,100915,7865,17036,83879,NaN,9.08,699638.654,58.4361,6150.3
2/5/87,34.9,3064,NaN,48.5,12.6,13.1,35.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1768.3,100915,7865,17036,83879,NaN,9.08,699638.654,58.4361,6150.3
2/6/87,34.9,3064,NaN,48.5,12.6,13.1,35.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1768.3,100915,7865,17036,83879,NaN,9.06,699638.654,58.4361,6150.3
2/7/87,34.9,3064,NaN,48.5,12.6,13.1,35.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1768.3,100915,7865,17036,83879,NaN,9.06,699638.654,58.4361,6150.3
2/8/87,34.9,3064,NaN,48.5,12.6,13.1,35.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1768.3,100915,7865,17036,83879,NaN,9.06,699638.654,58.4361,6150.3
2/9/87,34.9,3064,NaN,48.5,12.6,13.1,35.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1768.3,100915,7865,17036,83879,NaN,9.06,699638.654,58.4361,6150.3
2/10/87,34.9,3064,NaN,48.5,12.6,13.1,35.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1768.3,100915,7865,17036,83879,NaN,9.06,699638.654,58.4361,6150.3
2/11/87,34.9,3064,NaN,48.5,12.6,13.1,35.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1768.3,100915,7865,17036,83879,NaN,9.06,699638.654,58.4361,6150.3
2/12/87,34.9,3064,NaN,48.5,12.6,13.1,35.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1768.3,100915,7865,17036,83879,NaN,9.06,699638.654,58.4361,6150.3
2/13/87,34.9,3064,NaN,48.5,12.6,13.1,35.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1768.3,100915,7865,17036,83879,NaN,9.09,699638.654,58.4361,6150.3
2/14/87,34.9,3064,NaN,48.5,12.6,13.1,35.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1768.3,100915,7865,17036,83879,NaN,9.09,699638.654,58.4361,6150.3
