DATE,PAYEMS,AWHNONAG,CES9091000001,USGOVT,UNEMPLOY,LNS13023622,LNS13023706,LNS13023654,MVPHGFD027MNFRBDAL,MNFCTRIRSA,MNFCTRMPCIMSA,MNFCTRMPCSMSA,MARTSMPCSM44000USS,MORTGAGE30US,MORTGAGE15US,DGS10,INDPRO,CMRMTSPL,W875RX1
1997-01-01,121379,34.3,2845,19593,7158,45.0,12.0,13.3,3512.2,1.4,0.3,0.0,0.5,7.8,7.3,6.6,79.8239,949228.0,8020.2
1997-02-01,121687,34.4,2838,19598,7102,44.5,11.2,13.5,3537.0,1.37,0.1,2.4,0.9,7.7,7.2,6.4,80.7816,968611.0,8058.0
1997-03-01,121999,34.5,2836,19608,7000,45.0,11.2,14.3,3522.9,1.37,0.0,0.3,0.3,7.9,7.4,6.7,81.3388,969052.0,8096.5
1997-04-01,122291,34.5,2816,19603,6873,44.7,11.3,14.3,3446.7,1.36,0.5,0.8,-0.8,8.1,7.7,6.9,81.3611,972290.0,8109.6
1997-05-01,122554,34.6,2813,19601,6655,44.3,11.9,13.9,3485.1,1.38,0.3,-0.9,-0.8,7.9,7.5,6.7,81.8326,972051.0,8153.8
1997-06-01,122818,34.3,2815,19660,6799,45.7,11.9,13.7,3470.7,1.36,0.1,1.6,1.5,7.7,7.2,6.5,82.2309,985137.0,8185.7
1997-07-01,123121,34.5,2778,19686,6655,44.0,12.1,13.2,3542.0,1.35,0.2,0.8,1.1,7.5,7.0,6.2,82.85,995114.0,8226.6
1997-08-01,123099,34.6,2777,19617,6608,44.8,13.4,12.6,3509.5,1.36,0.4,0.1,0.3,7.5,7.0,6.3,83.7172,992294.0,8279.6
1997-09-01,123598,34.6,2772,19679,6656,44.6,12.9,12.9,3525.1,1.36,0.3,0.0,0.3,7.4,7.0,6.2,84.4629,1000316.0,8307.6
1997-10-01,123942,34.5,2791,19738,6454,45.3,11.5,15.5,3561.3,1.37,0.6,-0.2,-0.1,7.3,6.8,6.0,85.1968,997419.0,8358.4
1997-11-01,124241,34.5,2796,19761,6308,45.6,10.7,12.7,3581.0,1.34,-0.1,2.0,0.4,7.2,6.8,5.9,85.9458,1008029.0,8424.8
1997-12-01,124559,34.6,2789,19766,6476,47.0,11.2,15.0,3569.4,1.36,0.3,-1.1,0.2,7.1,6.7,5.8,86.2054,1005490.0,8476.6
1998-01-01,124831,34.6,2772,19770,6368,44.5,12.7,13.5,3598.7,1.39,0.4,-1.3,0.1,7.0,6.6,5.5,86.6558,1007443.0,8559.1
1998-02-01,125029,34.5,2768,19786,6306,44.6,12.3,13.3,3604.8,1.36,0.5,2.6,-0.1,7.0,6.6,5.6,86.7556,1021587.0,8621.9
1998-03-01,125174,34.5,2762,19792,6422,46.1,11.3,15.5,3614.5,1.37,0.2,-0.3,0.6,7.1,6.7,5.6,86.8196,1026646.0,8676.9
1998-04-01,125454,34.4,2752,19816,5941,45.2,10.4,12.1,3526.0,1.39,0.3,-1.3,1.3,7.1,6.8,5.6,87.1345,1028038.0,8714.5
1998-05-01,125856,34.5,2762,19875,6047,46.1,12.1,13.3,3548.5,1.38,0.1,0.6,0.5,7.1,6.8,5.7,87.6936,1031549.0,8761.6
1998-06-01,126079,34.4,2762,19879,6212,45.4,12.0,13.6,3529.3,1.41,0.2,-2.2,0.8,7.0,6.7,5.5,87.1421,1027423.0,8815.2
1998-07-01,126209,34.5,2771,19930,6259,45.7,12.6,15.0,3516.4,1.43,0.0,-0.8,-0.7,7.0,6.6,5.5,86.8414,1021420.0,8838.7
1998-08-01,126549,34.5,2776,19959,6179,45.3,11.8,14.3,3608.4,1.39,0.0,2.3,-0.6,6.9,6.6,5.3,88.6266,1032563.0,8877.3
1998-09-01,126767,34.4,2772,19985,6300,45.5,12.1,14.3,3604.9,1.38,0.0,0.7,1.0,6.7,6.4,4.8,88.4562,1042402.0,8907.4
1998-10-01,126968,34.5,2778,20001,6280,44.9,11.7,13.9,3603.4,1.38,0.2,0.5,1.7,6.7,6.4,4.5,89.1686,1051242.0,8926.9
1998-11-01,127241,34.4,2790,20044,6100,45.6,11.1,13.6,3598.1,1.38,0.0,0.3,0.8,6.9,6.5,4.8,89.1127,1055755.0,8970.2
1998-12-01,127608,34.5,2785,20079,6032,46.8,11.8,14.2,3571.9,1.37,-0.8,-0.2,0.9,6.7,6.4,4.6,89.4388,1063885.0,8990.0
1999-01-01,127725,34.4,2765,20084,5976,45.6,12.1,14.6,3562.7,1.35,-0.4,0.7,0.4,6.8,6.4,4.7,89.8617,1062461.0,9001.0
1999-02-01,128135,34.4,2773,20144,6111,44.7,12.3,14.0,3480.1,1.34,0.1,0.8,1.0,6.8,6.4,5.0,90.3253,1078887.0,9041.5
1999-03-01,128242,34.3,2767,20168,5783,45.0,13.1,14.7,3495.0,1.37,0.4,-1.2,0.5,7.0,6.7,5.2,90.4709,1077299.0,9047.7
1999-04-01,128614,34.4,2793,20237,6004,45.0,13.4,14.1,3401.3,1.36,-0.1,0.7,0.7,6.9,6.5,5.2,90.7285,1075505.0,9042.6
1999-05-01,128825,34.3,2764,20229,5796,45.4,13.4,13.9,3362.2,1.34,0.4,1.2,1.0,7.1,6.7,5.5,91.3499,1091280.0,9064.3
1999-06-01,129089,34.4,2766,20272,5951,44.6,14.2,14.8,3314.2,1.35,-0.1,-0.3,0.3,7.6,7.2,5.9,91.199,1092393.0,9097.2
1999-07-01,129417,34.4,2765,20339,6025,45.1,13.1,14.2,3308.2,1.35,0.5,0.2,0.9,7.6,7.3,5.8,91.7767,1093813.0,9116.0
1999-08-01,129571,34.4,2773,20375,5838,45.1,13.5,14.8,3314.6,1.33,0.1,1.6,1.1,7.9,7.5,5.9,92.1675,1102448.0,9158.7
1999-09-01,129796,34.3,2766,20404,5915,43.7,13.4,15.1,3272.4,1.34,0.6,-0.5,0.4,7.8,7.4,5.9,91.7812,1100449.0,9159.9
1999-10-01,130190,34.4,2766,20457,5778,43.7,13.1,14.0,3273.3,1.33,0.2,1.7,0.0,7.9,7.5,6.1,92.9976,1110118.0,9227.5
1999-11-01,130479,34.4,2767,20496,5716,43.8,14.5,14.9,3255.3,1.34,0.8,-0.3,1.3,7.7,7.4,6.0,93.444,1115856.0,9307.5
1999-12-01,130789,34.4,2771,20540,5653,42.7,14.1,13.8,3281.5,1.34,0.7,0.4,2.1,7.9,7.5,6.3,94.1555,1120689.0,9393.4
2000-01-01,131007,34.4,2768,20571,5708,44.0,13.4,13.1,3168.6,1.31,0.1,2.4,-0.8,4.0,7.8,6.7,94.1717,1129614.0,9496.2
2000-02-01,131138,34.4,2796,20599,5858,45.5,13.1,14.5,3206.0,1.37,0.7,-3.6,1.5,8.2,7.9,6.5,94.4329,1109286.0,9538.8
2000-03-01,131605,34.4,2884,20733,5733,43.8,14.2,14.2,3274.5,1.34,0.2,2.8,1.1,8.3,7.8,6.3,94.7926,1122401.0,9568.9
2000-04-01,131898,34.4,2911,20802,5481,42.2,15.2,13.0,3150.0,1.32,0.6,1.7,-1.6,8.2,7.8,6.0,95.4898,1131729.0,9611.6
2000-05-01,132117,34.3,3244,21147,5758,42.7,13.6,15.1,3075.9,1.35,0.1,-1.8,0.2,8.2,8.2,6.4,95.6421,1125723.0,9617.4
2000-06-01,132081,34.3,3004,20887,5651,43.6,12.3,17.4,3075.2,1.34,0.9,1.6,0.8,8.5,8.0,6.1,95.7364,1133165.0,9660.2
