DATE,CES9091000001
1939-01-01,912.0
1939-02-01,925.0
1939-03-01,929.0
1939-04-01,933.0
1939-05-01,941.0
1939-06-01,948.0
1939-07-01,954.0
1939-08-01,962.0
1939-09-01,970.0
1939-10-01,968.0
1939-11-01,975.0
1939-12-01,977.0
1940-01-01,980.0
1940-02-01,984.0
1940-03-01,993.0
1940-04-01,997.0
1940-05-01,1007.0
1940-06-01,1020.0
1940-07-01,1037.0
1940-08-01,1051.0
1940-09-01,1072.0
1940-10-01,1106.0
1940-11-01,1139.0
1940-12-01,1149.0
1941-01-01,1201.0
1941-02-01,1225.0
1941-03-01,1247.0
1941-04-01,1290.0
1941-05-01,1335.0
1941-06-01,1381.0
1941-07-01,1418.0
1941-08-01,1472.0
1941-09-01,1529.0
1941-10-01,1557.0
1941-11-01,1601.0
1941-12-01,1606.0
1942-01-01,1756.0
1942-02-01,1834.0
1942-03-01,1949.0
1942-04-01,2053.0
1942-05-01,2134.0
1942-06-01,2205.0
1942-07-01,2332.0
1942-08-01,2583.0
1942-09-01,2630.0
1942-10-01,2734.0
1942-11-01,2825.0
1942-12-01,2799.0
1943-01-01,2956.0
1943-02-01,3027.0
1943-03-01,3055.0
1943-04-01,3062.0
1943-05-01,3082.0
1943-06-01,3128.0
1943-07-01,3106.0
1943-08-01,3025.0
1943-09-01,3016.0
1943-10-01,3025.0
1943-11-01,3050.0
1943-12-01,3045.0
1944-01-01,3041.0
1944-02-01,3030.0
1944-03-01,3021.0
1944-04-01,3022.0
1944-05-01,3028.0
1944-06-01,3043.0
1944-07-01,3070.0
1944-08-01,3095.0
1944-09-01,3107.0
1944-10-01,3122.0
1944-11-01,3144.0
1944-12-01,3138.0
1945-01-01,3134.0
1945-02-01,3134.0
1945-03-01,3120.0
1945-04-01,3092.0
1945-05-01,3065.0
1945-06-01,3066.0
1945-07-01,3053.0
1945-08-01,2992.0
1945-09-01,2786.0
1945-10-01,2691.0
1945-11-01,2652.0
1945-12-01,2566.0
1946-01-01,2564.0
1946-02-01,2527.0
1946-03-01,2488.0
1946-04-01,2477.0
1946-05-01,2432.0
1946-06-01,2370.0
1946-07-01,2353.0
1946-08-01,2319.0
1946-09-01,2267.0
1946-10-01,2234.0
1946-11-01,2177.0
1946-12-01,2163.0
1947-01-01,2143.0
1947-02-01,2110.0
1947-03-01,2077.0
1947-04-01,2035.0
1947-05-01,2002.0
1947-06-01,1946.0
1947-07-01,1909.0
1947-08-01,1896.0
1947-09-01,1901.0
1947-10-01,1912.0
1947-11-01,1916.0
1947-12-01,1948.0
1948-01-01,1889.0
1948-02-01,1884.0
1948-03-01,1884.0
1948-04-01,1889.0
1948-05-01,1901.0
1948-06-01,1942.0
1948-07-01,1964.0
1948-08-01,1981.0
1948-09-01,1998.0
1948-10-01,2011.0
1948-11-01,2029.0
1948-12-01,2049.0
1949-01-01,2025.0
1949-02-01,2008.0
1949-03-01,2004.0
1949-04-01,2011.0
1949-05-01,2027.0
1949-06-01,2025.0
1949-07-01,2027.0
1949-08-01,2011.0
1949-09-01,1991.0
1949-10-01,1957.0
1949-11-01,1943.0
1949-12-01,1974.0
1950-01-01,1921.0
1950-02-01,1903.0
1950-03-01,2038.0
1950-04-01,2032.0
1950-05-01,1951.0
1950-06-01,1914.0
1950-07-01,1947.0
1950-08-01,2019.0
1950-09-01,2067.0
1950-10-01,2113.0
1950-11-01,2147.0
1950-12-01,2190.0
1951-01-01,2225.0
1951-02-01,2273.0
1951-03-01,2315.0
1951-04-01,2357.0
1951-05-01,2403.0
1951-06-01,2436.0
1951-07-01,2466.0
1951-08-01,2473.0
1951-09-01,2478.0
1951-10-01,2493.0
1951-11-01,2505.0
1951-12-01,2532.0
1952-01-01,2518.0
1952-02-01,2513.0
1952-03-01,2515.0
1952-04-01,2522.0
1952-05-01,2533.0
1952-06-01,2548.0
1952-07-01,2556.0
1952-08-01,2547.0
1952-09-01,2543.0
1952-10-01,2543.0
1952-11-01,2534.0
1952-12-01,2582.0
1953-01-01,2526.0
1953-02-01,2509.0
1953-03-01,2486.0
1953-04-01,2466.0
1953-05-01,2446.0
1953-06-01,2428.0
1953-07-01,2406.0
1953-08-01,2388.0
1953-09-01,2374.0
1953-10-01,2350.0
1953-11-01,2339.0
1953-12-01,2310.0
1954-01-01,2329.0
1954-02-01,2313.0
1954-03-01,2309.0
1954-04-01,2301.0
1954-05-01,2295.0
1954-06-01,2282.0
1954-07-01,2278.0
1954-08-01,2277.0
1954-09-01,2277.0
1954-10-01,2283.0
1954-11-01,2295.0
1954-12-01,2296.0
1955-01-01,2283.0
1955-02-01,2281.0
1955-03-01,2285.0
1955-04-01,2289.0
1955-05-01,2293.0
1955-06-01,2302.0
1955-07-01,2302.0
1955-08-01,2306.0
1955-09-01,2306.0
1955-10-01,2307.0
1955-11-01,2298.0
1955-12-01,2283.0
1956-01-01,2301.0
1956-02-01,2302.0
1956-03-01,2302.0
1956-04-01,2305.0
1956-05-01,2312.0
1956-06-01,2312.0
1956-07-01,2319.0
1956-08-01,2322.0
1956-09-01,2329.0
1956-10-01,2339.0
1956-11-01,2333.0
1956-12-01,2335.0
1957-01-01,2345.0
1957-02-01,2346.0
1957-03-01,2347.0
1957-04-01,2344.0
1957-05-01,2340.0
1957-06-01,2328.0
