DATE,CMRMTSPL
1987-01-01,675280.859
1987-02-01,699638.654
1987-03-01,700310.112
1987-04-01,698299.547
1987-05-01,697134.333
1987-06-01,700613.474
1987-07-01,706689.595
1987-08-01,703573.473
1987-09-01,711327.604
1987-10-01,710507.639
1987-11-01,708538.960
1987-12-01,714542.731
1988-01-01,712911.686
1988-02-01,720969.179
1988-03-01,732517.236
1988-04-01,728588.764
1988-05-01,730876.036
1988-06-01,738041.214
1988-07-01,735048.213
1988-08-01,735473.427
1988-09-01,738382.654
1988-10-01,744114.796
1988-11-01,746987.214
1988-12-01,756723.986
1989-01-01,757588.377
1989-02-01,749308.757
1989-03-01,744848.450
1989-04-01,751641.723
1989-05-01,748290.781
1989-06-01,745983.201
1989-07-01,738331.883
1989-08-01,757074.312
1989-09-01,751769.922
1989-10-01,744512.086
1989-11-01,751170.815
1989-12-01,753653.558
1990-01-01,747766.562
1990-02-01,758876.712
1990-03-01,763298.941
1990-04-01,754502.717
1990-05-01,760633.418
1990-06-01,762599.558
1990-07-01,758513.694
1990-08-01,766143.434
1990-09-01,752056.783
1990-10-01,748831.502
1990-11-01,739979.429
1990-12-01,732277.339
1991-01-01,727451.475
1991-02-01,731756.928
1991-03-01,727526.363
1991-04-01,741861.796
1991-05-01,747946.802
1991-06-01,744597.129
1991-07-01,754316.131
1991-08-01,751137.813
1991-09-01,754350.402
1991-10-01,755111.980
1991-11-01,752667.315
1991-12-01,743085.397
1992-01-01,757479.217
1992-02-01,759384.431
1992-03-01,762440.896
1992-04-01,767521.889
1992-05-01,760844.122
1992-06-01,768864.805
1992-07-01,779161.336
1992-08-01,766766.658
1992-09-01,777427.478
1992-10-01,780574.063
1992-11-01,781904.286
1992-12-01,794075.568
1993-01-01,796064.555
1993-02-01,795044.041
1993-03-01,790017.628
1993-04-01,794099.684
1993-05-01,795357.557
1993-06-01,802710.590
1993-07-01,798826.544
1993-08-01,802920.024
1993-09-01,810069.970
1993-10-01,813530.072
1993-11-01,817703.518
1993-12-01,820289.075
1994-01-01,821223.277
1994-02-01,828734.972
1994-03-01,842533.492
1994-04-01,838096.032
1994-05-01,840124.368
1994-06-01,847836.612
1994-07-01,844120.113
1994-08-01,864053.142
1994-09-01,860312.525
1994-10-01,866878.595
1994-11-01,874515.951
1994-12-01,881083.290
1995-01-01,884976.222
1995-02-01,879996.772
1995-03-01,879685.795
1995-04-01,873103.224
1995-05-01,879532.210
1995-06-01,888009.840
1995-07-01,877511.490
1995-08-01,895287.985
1995-09-01,894193.851
1995-10-01,894660.952
1995-11-01,901984.792
1995-12-01,906259.782
1996-01-01,897213.507
1996-02-01,905320.503
1996-03-01,905771.103
1996-04-01,913875.560
1996-05-01,920828.765
1996-06-01,916487.771
1996-07-01,923725.299
1996-08-01,926896.001
1996-09-01,929730.340
1996-10-01,937008.485
1996-11-01,943940.112
1996-12-01,937141.761
1997-01-01,949228.000
1997-02-01,968611.000
1997-03-01,969052.000
1997-04-01,972290.000
1997-05-01,972051.000
1997-06-01,985137.000
1997-07-01,995114.000
1997-08-01,992294.000
1997-09-01,1000316.000
1997-10-01,997419.000
1997-11-01,1008029.000
1997-12-01,1005490.000
1998-01-01,1007443.000
1998-02-01,1021587.000
1998-03-01,1026646.000
1998-04-01,1028038.000
1998-05-01,1031549.000
1998-06-01,1027423.000
1998-07-01,1021420.000
1998-08-01,1032563.000
1998-09-01,1042402.000
1998-10-01,1051242.000
1998-11-01,1055755.000
1998-12-01,1063885.000
1999-01-01,1062461.000
1999-02-01,1078887.000
1999-03-01,1077299.000
1999-04-01,1075505.000
1999-05-01,1091280.000
1999-06-01,1092393.000
1999-07-01,1093813.000
1999-08-01,1102448.000
1999-09-01,1100449.000
1999-10-01,1110118.000
1999-11-01,1115856.000
1999-12-01,1120689.000
2000-01-01,1129614.000
2000-02-01,1109286.000
2000-03-01,1122401.000
2000-04-01,1131729.000
2000-05-01,1125723.000
2000-06-01,1133165.000
2000-07-01,1126024.000
2000-08-01,1126415.000
2000-09-01,1138568.000
2000-10-01,1129879.000
2000-11-01,1121653.000
2000-12-01,1130446.000
2001-01-01,1121377.000
2001-02-01,1126325.000
2001-03-01,1112824.000
2001-04-01,1104047.000
2001-05-01,1113592.000
2001-06-01,1098414.000
2001-07-01,1102604.000
2001-08-01,1111714.000
2001-09-01,1088342.000
2001-10-01,1120677.000
2001-11-01,1115228.000
2001-12-01,1117422.000
2002-01-01,1116339.000
2002-02-01,1120400.000
2002-03-01,1114874.000
2002-04-01,1127695.000
2002-05-01,1130035.000
2002-06-01,1133716.000
2002-07-01,1130556.000
2002-08-01,1141413.000
2002-09-01,1131631.000
2002-10-01,1126414.000
2002-11-01,1138482.000
2002-12-01,1129645.000
2003-01-01,1136287.000
2003-02-01,1123727.000
2003-03-01,1133971.000
2003-04-01,1130689.000
2003-05-01,1140606.000
2003-06-01,1151283.000
2003-07-01,1160035.000
2003-08-01,1159559.000
2003-09-01,1164276.000
2003-10-01,1167027.000
2003-11-01,1171540.000
2003-12-01,1168227.000
2004-01-01,1162401.000
2004-02-01,1171414.000
2004-03-01,1198917.000
2004-04-01,1186144.000
2004-05-01,1189447.000
2004-06-01,1188341.000
2004-07-01,1190096.000
2004-08-01,1200430.000
2004-09-01,1205353.000
2004-10-01,1207904.000
2004-11-01,1210114.000
2004-12-01,1228978.000
2005-01-01,1233423.000
2005-02-01,1233818.000
2005-03-01,1225402.000
2005-04-01,1243914.000
2005-05-01,1241537.000
2005-06-01,1253294.000
2005-07-01,1252470.000
2005-08-01,1255554.000
2005-09-01,1249496.000
2005-10-01,1249349.000
2005-11-01,1266510.000
2005-12-01,1273797.000
2006-01-01,1280490.000
2006-02-01,1283525.000
2006-03-01,1285689.000
2006-04-01,1273540.000
2006-05-01,1284007.000
2006-06-01,1280472.000
2006-07-01,1274914.000
2006-08-01,1282063.000
2006-09-01,1281830.000
2006-10-01,1282760.000
2006-11-01,1283503.000
2006-12-01,1304033.000
2007-01-01,1296080.000
2007-02-01,1303857.000
2007-03-01,1305493.000
2007-04-01,1303242.000
2007-05-01,1311962.000
2007-06-01,1310470.000
2007-07-01,1302662.000
2007-08-01,1319012.000
2007-09-01,1319652.000
2007-10-01,1326662.000
2007-11-01,1323441.000
2007-12-01,1312662.000
2008-01-01,1319262.000
2008-02-01,1306654.000
2008-03-01,1289336.000
2008-04-01,1302474.000
2008-05-01,1293471.000
2008-06-01,1291741.000
2008-07-01,1269465.000
2008-08-01,1260142.000
2008-09-01,1229147.000
2008-10-01,1217693.000
2008-11-01,1184469.000
2008-12-01,1178034.000
2009-01-01,1153058.000
2009-02-01,1160215.000
2009-03-01,1136275.000
2009-04-01,1127427.000
2009-05-01,1127913.000
2009-06-01,1126129.000
2009-07-01,1142764.000
2009-08-01,1143418.000
2009-09-01,1144772.000
2009-10-01,1150407.000
2009-11-01,1159044.000
2009-12-01,1162939.000
2010-01-01,1159614.000
2010-02-01,1167271.000
2010-03-01,1182072.000
2010-04-01,1192644.000
2010-05-01,1188910.000
2010-06-01,1200366.000
2010-07-01,1210538.000
2010-08-01,1211152.000
2010-09-01,1210964.000
2010-10-01,1217216.000
2010-11-01,1220690.000
2010-12-01,1222861.000
2011-01-01,1237849.000
2011-02-01,1220120.000
2011-03-01,1234097.000
2011-04-01,1229594.000
2011-05-01,1219944.000
2011-06-01,1232271.000
2011-07-01,1237862.000
2011-08-01,1247048.000
2011-09-01,1238946.000
2011-10-01,1254588.000
2011-11-01,1250048.000
2011-12-01,1261003.000
2012-01-01,1268460.000
2012-02-01,1273029.000
2012-03-01,1271849.000
2012-04-01,1275997.000
2012-05-01,1279867.000
2012-06-01,1276299.000
2012-07-01,1278728.000
2012-08-01,1277591.000
2012-09-01,1279516.000
2012-10-01,1274571.000
2012-11-01,1298060.000
2012-12-01,1302868.000
2013-01-01,1307206.000
2013-02-01,1312035.000
2013-03-01,1304969.000
2013-04-01,1303671.000
2013-05-01,1317695.000
2013-06-01,1314033.000
2013-07-01,1314276.000
2013-08-01,1319628.000
2013-09-01,1323701.000
2013-10-01,1331422.000
2013-11-01,1347662.000
2013-12-01,1342339.000
2014-01-01,1328324.000
2014-02-01,1339628.000
2014-03-01,1351051.000
2014-04-01,1352077.000
2014-05-01,1355672.000
2014-06-01,1355651.000
2014-07-01,1363347.000
2014-08-01,1366509.000
2014-09-01,1366013.000
2014-10-01,1367414.000
2014-11-01,1369871.000
2014-12-01,1378840.000
2015-01-01,1382319.000
2015-02-01,1374758.000
2015-03-01,1383782.000
2015-04-01,1391720.000
2015-05-01,1382025.000
2015-06-01,1383102.000
2015-07-01,1386699.000
2015-08-01,1387815.000
2015-09-01,1402260.000
2015-10-01,1397808.000
2015-11-01,1393663.000
2015-12-01,1392165.000
2016-01-01,1394333.000
2016-02-01,1399634.000
2016-03-01,1405950.000
2016-04-01,1404603.000
2016-05-01,1398738.000
2016-06-01,1405196.000
2016-07-01,1407607.000
2016-08-01,1415131.000
2016-09-01,1419545.000
2016-10-01,1420330.000
2016-11-01,1420555.000
2016-12-01,1438086.000
2017-01-01,1433767.000
2017-02-01,1430340.000
2017-03-01,1433753.000
2017-04-01,1430588.000
2017-05-01,1440857.000
2017-06-01,1444244.000
2017-07-01,1452074.000
2017-08-01,1456569.000
2017-09-01,1466160.000
2017-10-01,1472607.000
2017-11-01,1480434.000
2017-12-01,1483917.000
2018-01-01,1469000.000
2018-02-01,1471413.000
2018-03-01,1478892.000
2018-04-01,1480268.000
2018-05-01,1485222.000
2018-06-01,1487431.000
2018-07-01,1490039.000
