DATE,DGS2
2013-09-16,0.41
2013-09-17,0.39
2013-09-18,0.34
2013-09-19,0.34
2013-09-20,0.34
2013-09-23,0.35
2013-09-24,0.35
2013-09-25,0.36
2013-09-26,0.34
2013-09-27,0.34
2013-09-30,0.33
2013-10-01,0.33
2013-10-02,0.31
2013-10-03,0.33
2013-10-04,0.33
2013-10-07,0.37
2013-10-08,0.40
2013-10-09,0.37
2013-10-10,0.35
2013-10-11,0.35
2013-10-14,.
2013-10-15,0.37
2013-10-16,0.34
2013-10-17,0.33
2013-10-18,0.33
2013-10-21,0.33
2013-10-22,0.31
2013-10-23,0.31
2013-10-24,0.33
2013-10-25,0.32
2013-10-28,0.32
2013-10-29,0.31
2013-10-30,0.33
2013-10-31,0.31
2013-11-01,0.33
2013-11-04,0.32
2013-11-05,0.32
2013-11-06,0.30
2013-11-07,0.29
2013-11-08,0.32
2013-11-11,.
2013-11-12,0.34
2013-11-13,0.32
2013-11-14,0.29
2013-11-15,0.31
2013-11-18,0.31
2013-11-19,0.29
2013-11-20,0.28
2013-11-21,0.29
2013-11-22,0.31
2013-11-25,0.30
2013-11-26,0.29
2013-11-27,0.28
2013-11-28,.
2013-11-29,0.28
2013-12-02,0.30
2013-12-03,0.28
2013-12-04,0.30
2013-12-05,0.30
2013-12-06,0.30
2013-12-09,0.30
2013-12-10,0.30
2013-12-11,0.31
2013-12-12,0.34
2013-12-13,0.34
2013-12-16,0.34
2013-12-17,0.34
2013-12-18,0.32
2013-12-19,0.35
2013-12-20,0.37
2013-12-23,0.38
2013-12-24,0.38
2013-12-25,.
2013-12-26,0.42
2013-12-27,0.40
2013-12-30,0.39
2013-12-31,0.38
2014-01-01,.
2014-01-02,0.39
2014-01-03,0.41
2014-01-06,0.40
2014-01-07,0.40
2014-01-08,0.43
2014-01-09,0.44
2014-01-10,0.39
2014-01-13,0.39
2014-01-14,0.39
2014-01-15,0.41
2014-01-16,0.41
2014-01-17,0.40
2014-01-20,.
2014-01-21,0.40
2014-01-22,0.44
