DATE,DGS1,DGS2,DGS5,DGS10
9/16/13,0.13,0.41,1.65,4.06
9/17/13,0.12,0.39,1.62,4.03
9/18/13,0.11,0.34,1.43,3.99
9/19/13,0.1,0.34,1.49,4.02
9/20/13,0.11,0.34,1.5,4.03
9/23/13,0.1,0.35,1.48,4.05
9/24/13,0.1,0.35,1.44,4.07
9/25/13,0.1,0.36,1.41,4.08
9/26/13,0.09,0.34,1.43,4.08
9/27/13,0.1,0.34,1.4,4.1
9/30/13,0.1,0.33,1.39,4.13
10/1/13,0.1,0.33,1.42,4.12
10/2/13,0.11,0.31,1.38,4.11
10/3/13,0.11,0.33,1.36,4.11
10/4/13,0.11,0.33,1.41,4.09
10/7/13,0.12,0.37,1.41,4.11
10/8/13,0.15,0.4,1.43,4.1
10/9/13,0.15,0.37,1.43,4.11
10/10/13,0.14,0.35,1.44,4.11
10/11/13,0.14,0.35,1.42,4.12
10/14/13,.,.,.,4.11
10/15/13,0.16,0.37,1.45,4.1
10/16/13,0.15,0.34,1.41,4.09
10/17/13,0.13,0.33,1.35,4.08
10/18/13,0.12,0.33,1.35,4.07
10/21/13,0.11,0.33,1.38,4.06
10/22/13,0.1,0.31,1.3,4.07
10/23/13,0.11,0.31,1.3,4.07
10/24/13,0.12,0.33,1.32,4.05
10/25/13,0.11,0.32,1.3,.
10/28/13,0.11,0.32,1.31,4.03
10/29/13,0.11,0.31,1.29,4.03
10/30/13,0.11,0.33,1.3,4.02
10/31/13,0.1,0.31,1.31,4.02
11/1/13,0.1,0.33,1.37,4.01
11/4/13,0.09,0.32,1.36,4.05
11/5/13,0.1,0.32,1.39,4.03
11/6/13,0.11,0.3,1.34,.
11/7/13,0.11,0.29,1.31,4.02
11/8/13,0.12,0.32,1.42,4
11/11/13,.,.,.,4.01
11/12/13,0.13,0.34,1.47,4
11/13/13,0.13,0.32,1.41,3.98
11/14/13,0.13,0.29,1.34,3.98
11/15/13,0.13,0.31,1.36,4
11/18/13,0.13,0.31,1.33,4.01
11/19/13,0.14,0.29,1.37,4
11/20/13,0.12,0.28,1.39,3.98
11/21/13,0.12,0.29,1.38,3.96
11/22/13,0.12,0.31,1.37,3.94
11/25/13,0.14,0.3,1.37,3.92
11/26/13,0.13,0.29,1.34,3.93
11/27/13,0.13,0.28,1.36,3.96
11/28/13,.,.,.,3.96
11/29/13,0.13,0.28,1.37,3.93
12/2/13,0.13,0.3,1.43,3.91
12/3/13,0.13,0.28,1.4,3.86
12/4/13,0.14,0.3,1.45,3.83
12/5/13,0.13,0.3,1.49,3.87
12/6/13,0.13,0.3,1.51,3.89
12/9/13,0.13,0.3,1.5,3.9
12/10/13,0.14,0.3,1.46,3.9
12/11/13,0.13,0.31,1.5,3.9
12/12/13,0.14,0.34,1.55,3.86
12/13/13,0.14,0.34,1.55,3.86
12/16/13,0.13,0.34,1.55,3.83
12/17/13,0.14,0.34,1.52,3.78
12/18/13,0.13,0.32,1.55,3.84
12/19/13,0.13,0.35,1.63,3.81
12/20/13,0.13,0.37,1.66,3.83
12/23/13,0.14,0.38,1.68,3.83
12/24/13,0.14,0.38,1.73,3.87
12/25/13,.,.,.,3.86
12/26/13,0.13,0.42,1.74,3.85
12/27/13,0.12,0.4,1.74,3.83
12/30/13,0.13,0.39,1.71,3.82
12/31/13,0.13,0.38,1.75,3.81
1/1/14,.,.,.,3.82
1/2/14,0.13,0.39,1.72,.
1/3/14,0.13,0.41,1.73,3.86
1/6/14,0.12,0.4,1.7,3.87
1/7/14,0.13,0.4,1.69,3.88
1/8/14,0.13,0.43,1.77,3.89
1/9/14,0.13,0.44,1.75,3.86
1/10/14,0.12,0.39,1.64,3.86
1/13/14,0.11,0.39,1.6,3.85
1/14/14,0.11,0.39,1.65,3.86
1/15/14,0.13,0.41,1.68,3.86
1/16/14,0.11,0.41,1.66,3.87
1/17/14,0.11,0.4,1.64,3.86
1/20/14,.,.,.,3.85
1/21/14,0.12,0.4,1.67,3.82
1/22/14,0.11,0.44,1.72,3.83
1/23/14,0.11,0.39,1.62,3.82
1/24/14,0.11,0.37,1.58,3.85
1/27/14,0.11,0.37,1.61,3.87
1/28/14,0.11,0.38,1.59,3.86
1/29/14,0.11,0.36,1.52,3.87
1/30/14,0.1,0.36,1.55,3.93
1/31/14,0.1,0.34,1.49,3.94
2/3/14,0.11,0.3,1.44,3.93
2/4/14,0.12,0.31,1.46,3.91
2/5/14,0.12,0.32,1.5,3.9
2/6/14,0.13,0.33,1.52,3.88
2/7/14,0.12,0.3,1.47,3.87
2/10/14,0.12,0.32,1.48,3.89
2/11/14,0.12,0.35,1.54,.
2/12/14,0.12,0.35,1.59,3.9
2/13/14,0.12,0.32,1.51,3.89
2/14/14,0.11,0.32,1.53,3.88
2/17/14,.,.,.,3.89
2/18/14,0.12,0.31,1.5,3.89
2/19/14,0.11,0.33,1.53,3.87
2/20/14,0.12,0.34,1.57,3.86
2/21/14,0.12,0.33,1.56,3.87
2/24/14,0.11,0.35,1.57,3.86
2/25/14,0.11,0.34,1.53,3.87
2/26/14,0.11,0.33,1.5,3.9
2/27/14,0.11,0.33,1.49,3.89
