DATE,HBATGDQ188S
1981-01-01,6.10891
1981-04-01,6.32149
1981-07-01,6.38089
1981-10-01,6.19419
1982-01-01,6.18181
1982-04-01,6.35401
1982-07-01,6.42850
1982-10-01,6.15287
1983-01-01,5.79128
1983-04-01,6.40681
1983-07-01,6.47903
1983-10-01,6.22649
1984-01-01,6.13715
1984-04-01,6.42450
1984-07-01,6.44143
1984-10-01,6.98075
1985-01-01,6.98551
1985-04-01,7.31465
1985-07-01,7.21590
1985-10-01,7.84995
1986-01-01,7.82088
1986-04-01,8.23723
1986-07-01,8.30917
1986-10-01,8.65443
1987-01-01,8.62854
1987-04-01,9.11634
1987-07-01,9.35944
1987-10-01,9.53775
1988-01-01,9.67483
1988-04-01,10.29361
1988-07-01,10.41956
1988-10-01,10.91234
1989-01-01,11.02252
1989-04-01,11.72036
1989-07-01,11.88168
1989-10-01,12.31588
1990-01-01,12.30599
1990-04-01,13.00299
1990-07-01,13.22937
1990-10-01,13.79370
1991-01-01,14.36309
1991-04-01,14.60984
1991-07-01,14.81763
1991-10-01,15.46265
1992-01-01,15.14447
1992-04-01,15.57594
1992-07-01,15.47717
1992-10-01,15.68226
1993-01-01,15.49937
1993-04-01,16.15031
1993-07-01,16.22605
1993-10-01,16.44615
1994-01-01,16.04436
1994-04-01,16.59922
1994-07-01,16.54734
1994-10-01,16.86094
1995-01-01,16.67919
1995-04-01,17.36663
1995-07-01,17.19071
1995-10-01,16.78278
1996-01-01,17.20496
1996-04-01,17.70785
1996-07-01,17.79523
1996-10-01,18.12614
1997-01-01,18.01801
1997-04-01,18.44835
1997-07-01,18.43239
1997-10-01,18.88774
1998-01-01,18.83925
1998-04-01,19.59437
1998-07-01,19.33824
1998-10-01,19.65599
1999-01-01,19.71980
1999-04-01,20.51220
1999-07-01,20.54021
1999-10-01,20.81505
2000-01-01,20.84822
2000-04-01,21.37289
2000-07-01,21.66424
2000-10-01,21.54104
2001-01-01,22.33726
2001-04-01,23.14286
2001-07-01,23.29831
2001-10-01,23.91755
2002-01-01,23.74983
2002-04-01,24.44574
2002-07-01,24.34166
2002-10-01,24.91380
2003-01-01,24.58976
2003-04-01,25.22650
2003-07-01,24.71855
2003-10-01,25.09849
2004-01-01,24.78489
2004-04-01,25.23416
2004-07-01,24.99880
2004-10-01,25.47263
2005-01-01,25.11134
2005-04-01,25.63021
2005-07-01,25.34706
2005-10-01,25.92052
2006-01-01,25.71574
2006-04-01,26.34650
2006-07-01,26.41986
2006-10-01,26.92138
2007-01-01,26.71196
2007-04-01,27.28789
2007-07-01,27.23364
2007-10-01,27.87783
2008-01-01,28.00857
2008-04-01,28.41477
2008-07-01,28.38175
2008-10-01,29.72040
2009-01-01,29.80714
2009-04-01,30.43863
2009-07-01,30.20247
2009-10-01,30.74230
2010-01-01,30.42433
2010-04-01,30.56775
2010-07-01,30.06655
2010-10-01,30.37761
2011-01-01,30.18182
2011-04-01,29.66025
2011-07-01,29.87655
2011-10-01,30.19944
2012-01-01,29.52678
2012-04-01,29.75943
2012-07-01,29.47534
2012-10-01,29.62415
2013-01-01,29.26403
2013-04-01,29.04059
2013-07-01,28.23480
2013-10-01,29.24979
2014-01-01,29.12971
2014-04-01,29.04082
2014-07-01,28.43854
2014-10-01,28.68873
2015-01-01,28.16780
2015-04-01,27.86279
2015-07-01,27.42260
2015-10-01,28.45268
2016-01-01,28.98115
2016-04-01,29.20637
2016-07-01,28.70104
2016-10-01,29.17661
2017-01-01,28.55551
2017-04-01,28.27430
2017-07-01,28.40031
2017-10-01,28.58859
2018-01-01,28.20642
