DATE,HBFIGDQ188S
1970-01-01,1.17960
1970-04-01,1.31163
1970-07-01,1.52846
1970-10-01,1.80965
1971-01-01,2.16710
1971-04-01,2.75022
1971-07-01,3.52389
1971-10-01,3.86458
1972-01-01,3.98177
1972-04-01,3.88512
1972-07-01,4.22295
1972-10-01,4.09360
1973-01-01,4.51546
1973-04-01,4.20118
1973-07-01,4.02416
1973-10-01,3.70524
1974-01-01,3.62793
1974-04-01,3.71228
1974-07-01,3.58968
1974-10-01,3.67574
1975-01-01,4.02199
1975-04-01,3.99551
1975-07-01,3.83081
1975-10-01,3.77448
1976-01-01,3.74076
1976-04-01,3.76822
1976-07-01,3.95429
1976-10-01,4.03769
1977-01-01,4.25918
1977-04-01,4.27548
1977-07-01,4.50796
1977-10-01,5.06406
1978-01-01,5.65200
1978-04-01,5.12516
1978-07-01,5.04790
1978-10-01,5.37355
1979-01-01,5.25605
1979-04-01,4.61168
1979-07-01,4.65593
1979-10-01,4.36876
1980-01-01,4.48054
1980-04-01,4.22542
1980-07-01,4.36551
1980-10-01,4.34425
1981-01-01,4.42352
1981-04-01,4.31932
1981-07-01,4.00845
1981-10-01,4.16360
1982-01-01,4.15661
1982-04-01,4.11768
1982-07-01,4.17667
1982-10-01,4.39375
1983-01-01,4.49702
1983-04-01,4.47351
1983-07-01,4.33972
1983-10-01,4.38242
1984-01-01,4.25531
1984-04-01,4.27973
1984-07-01,4.29944
1984-10-01,4.64982
1985-01-01,4.71849
1985-04-01,4.97801
1985-07-01,5.08118
1985-10-01,5.05840
1986-01-01,5.15984
1986-04-01,5.51994
1986-07-01,5.76213
1986-10-01,5.65524
1987-01-01,5.77702
1987-04-01,5.84874
1987-07-01,5.72212
1987-10-01,5.98443
1988-01-01,6.55383
1988-04-01,6.65506
1988-07-01,6.54762
1988-10-01,6.70802
1989-01-01,6.77704
1989-04-01,6.52833
1989-07-01,6.87928
1989-10-01,7.41400
1990-01-01,7.58424
1990-04-01,7.56708
1990-07-01,7.71057
1990-10-01,8.11193
1991-01-01,8.15220
1991-04-01,8.19343
1991-07-01,8.15832
1991-10-01,8.31506
1992-01-01,8.42985
1992-04-01,8.62649
1992-07-01,8.57059
1992-10-01,8.63220
1993-01-01,8.70649
1993-04-01,8.76495
1993-07-01,8.99580
1993-10-01,9.27180
1994-01-01,9.29079
1994-04-01,9.10592
1994-07-01,9.30286
1994-10-01,8.95069
1995-01-01,9.39873
1995-04-01,10.05804
1995-07-01,10.67795
1995-10-01,10.74546
1996-01-01,11.54100
1996-04-01,11.57374
1996-07-01,12.21683
1996-10-01,13.34298
1997-01-01,13.84249
1997-04-01,13.88337
1997-07-01,14.20438
1997-10-01,14.16397
1998-01-01,14.10368
1998-04-01,14.00270
1998-07-01,13.42163
1998-10-01,13.75835
1999-01-01,13.51029
1999-04-01,13.21692
1999-07-01,13.23507
1999-10-01,12.81596
2000-01-01,10.84690
2000-04-01,10.35064
2000-07-01,10.06606
2000-10-01,9.72505
2001-01-01,9.66783
2001-04-01,9.27832
2001-07-01,9.36365
2001-10-01,9.75677
2002-01-01,9.79891
2002-04-01,10.31010
2002-07-01,10.81327
2002-10-01,11.16022
2003-01-01,11.40251
2003-04-01,12.12689
2003-07-01,12.47739
2003-10-01,12.94132
2004-01-01,14.00987
2004-04-01,14.33150
2004-07-01,14.58547
2004-10-01,14.76791
2005-01-01,15.29620
2005-04-01,14.54684
2005-07-01,14.68476
2005-10-01,15.25616
2006-01-01,15.30513
2006-04-01,14.38420
2006-07-01,14.60468
2006-10-01,14.98230
2007-01-01,15.44702
2007-04-01,15.24089
2007-07-01,15.37874
2007-10-01,16.02833
2008-01-01,17.10664
2008-04-01,17.47581
2008-07-01,18.89022
2008-10-01,21.13528
2009-01-01,22.68706
2009-04-01,24.11228
2009-07-01,24.76091
2009-10-01,25.19206
2010-01-01,26.34201
2010-04-01,27.26768
2010-07-01,28.67522
2010-10-01,29.10338
2011-01-01,29.31735
2011-04-01,30.26938
2011-07-01,31.50428
2011-10-01,31.69634
2012-01-01,32.11721
2012-04-01,32.88023
2012-07-01,33.68425
2012-10-01,34.07205
2013-01-01,34.55125
2013-04-01,33.62799
2013-07-01,33.55027
2013-10-01,33.90829
2014-01-01,34.77942
2014-04-01,34.53908
2014-07-01,34.25088
2014-10-01,34.51925
2015-01-01,34.34866
2015-04-01,33.82360
2015-07-01,33.30898
2015-10-01,33.48630
2016-01-01,34.13741
2016-04-01,33.68484
2016-07-01,32.74476
2016-10-01,31.64668
2017-01-01,31.70403
2017-04-01,31.77778
2017-07-01,32.17213
2017-10-01,31.69098
2018-01-01,31.40554
