DATE,HBFRGDQ188S
1970-01-01,5.30822
1970-04-01,5.40579
1970-07-01,5.52456
1970-10-01,5.70453
1971-01-01,5.65561
1971-04-01,5.66476
1971-07-01,5.74012
1971-10-01,5.89769
1972-01-01,5.68011
1972-04-01,5.63817
1972-07-01,5.40073
1972-10-01,5.25997
1973-01-01,5.39387
1973-04-01,5.30453
1973-07-01,5.31441
1973-10-01,5.31739
1974-01-01,5.33124
1974-04-01,5.26125
1974-07-01,5.19222
1974-10-01,5.03226
1975-01-01,5.03677
1975-04-01,5.12757
1975-07-01,5.08825
1975-10-01,4.98913
1976-01-01,4.93275
1976-04-01,5.09628
1976-07-01,5.10983
1976-10-01,5.01480
1977-01-01,4.82740
1977-04-01,4.97104
1977-07-01,4.94224
1977-10-01,4.74987
1978-01-01,4.61240
1978-04-01,4.72201
1978-07-01,4.81409
1978-10-01,4.42480
1979-01-01,4.38928
1979-04-01,4.23348
1979-07-01,4.32979
1979-10-01,4.31369
1980-01-01,4.18303
1980-04-01,4.45064
1980-07-01,4.22548
1980-10-01,4.06289
1981-01-01,3.80897
1981-04-01,3.79443
1981-07-01,3.81217
1981-10-01,3.99291
1982-01-01,3.86647
1982-04-01,3.81156
1982-07-01,3.99249
1982-10-01,4.09398
1983-01-01,3.93561
1983-04-01,3.95937
1983-07-01,4.21232
1983-10-01,4.00295
1984-01-01,3.85870
1984-04-01,3.81335
1984-07-01,3.79507
1984-10-01,3.87846
1985-01-01,3.80600
1985-04-01,3.93724
1985-07-01,3.86845
1985-10-01,4.07957
1986-01-01,4.09948
1986-04-01,4.04590
1986-07-01,4.14092
1986-10-01,4.53664
1987-01-01,4.15912
1987-04-01,4.41725
1987-07-01,4.33816
1987-10-01,4.44489
1988-01-01,4.28709
1988-04-01,4.38533
1988-07-01,4.33858
1988-10-01,4.41522
1989-01-01,4.14788
1989-04-01,4.13009
1989-07-01,3.88210
1989-10-01,3.94624
1990-01-01,3.71039
1990-04-01,3.88253
1990-07-01,3.89685
1990-10-01,3.91524
1991-01-01,3.99325
1991-04-01,4.03959
1991-07-01,4.16698
1991-10-01,4.25410
1992-01-01,4.17721
1992-04-01,4.27925
1992-07-01,4.25941
1992-10-01,4.41564
1993-01-01,4.43572
1993-04-01,4.59837
1993-07-01,4.64103
1993-10-01,4.73357
1994-01-01,4.74025
1994-04-01,4.79651
1994-07-01,4.81512
1994-10-01,4.88915
1995-01-01,4.83496
1995-04-01,4.91492
1995-07-01,4.78581
1995-10-01,4.86582
1996-01-01,4.79255
1996-04-01,4.77913
1996-07-01,4.72120
1996-10-01,4.73258
1997-01-01,4.72458
1997-04-01,4.82344
1997-07-01,4.75365
1997-10-01,4.91335
1998-01-01,4.88582
1998-04-01,4.90317
1998-07-01,4.88976
1998-10-01,4.86443
1999-01-01,4.94517
1999-04-01,5.09127
1999-07-01,5.05068
1999-10-01,4.82859
2000-01-01,5.01557
2000-04-01,4.92697
2000-07-01,4.95551
2000-10-01,4.90180
2001-01-01,5.00244
2001-04-01,5.04915
2001-07-01,5.04044
2001-10-01,5.17528
2002-01-01,5.33323
2002-04-01,5.42265
2002-07-01,5.49670
2002-10-01,5.68489
2003-01-01,5.73613
2003-04-01,5.76423
2003-07-01,5.67201
2003-10-01,5.66475
2004-01-01,5.65512
2004-04-01,5.67678
2004-07-01,5.69195
2004-10-01,5.73212
2005-01-01,5.62088
2005-04-01,5.61347
2005-07-01,5.60304
2005-10-01,5.58193
2006-01-01,5.57559
2006-04-01,5.57390
2006-07-01,5.54463
2006-10-01,5.54882
2007-01-01,5.49598
2007-04-01,5.49632
2007-07-01,5.36360
2007-10-01,5.04444
2008-01-01,4.03521
2008-04-01,3.23391
2008-07-01,3.21263
2008-10-01,3.26865
2009-01-01,3.42005
2009-04-01,4.57400
2009-07-01,5.33414
2009-10-01,5.30899
2010-01-01,5.27601
2010-04-01,5.20565
2010-07-01,5.38266
2010-10-01,6.70239
2011-01-01,8.76891
2011-04-01,10.45096
2011-07-01,10.67673
2011-10-01,10.53021
2012-01-01,10.36907
2012-04-01,10.27658
2012-07-01,10.12047
2012-10-01,10.18469
2013-01-01,10.83913
2013-04-01,11.63967
2013-07-01,12.29943
2013-10-01,12.92971
2014-01-01,15.28744
2014-04-01,15.52816
2014-07-01,15.61696
2014-10-01,15.65943
2015-01-01,15.56725
2015-04-01,15.35840
2015-07-01,15.28605
2015-10-01,15.31025
2016-01-01,15.29296
2016-04-01,15.12333
2016-07-01,15.05401
2016-10-01,14.98321
2017-01-01,14.92025
2017-04-01,14.79458
2017-07-01,14.63952
2017-10-01,14.41168
2018-01-01,14.11353
