DATE,MDSP
1980-01-01,4.378281
1980-04-01,4.513831
1980-07-01,4.518302
1980-10-01,4.51138
1981-01-01,4.606615
1981-04-01,4.741537
1981-07-01,4.743502
1981-10-01,4.822846
1982-01-01,4.910845
1982-04-01,4.95888
1982-07-01,4.915728
1982-10-01,4.894591
1983-01-01,4.870881
1983-04-01,4.869702
1983-07-01,4.872788
1983-10-01,4.89228
1984-01-01,4.915766
1984-04-01,4.954306
1984-07-01,4.989772
1984-10-01,5.059964
1985-01-01,5.235591
1985-04-01,5.296301
1985-07-01,5.424217
1985-10-01,5.494527
1986-01-01,5.520546
1986-04-01,5.556655
1986-07-01,5.609585
1986-10-01,5.70871
1987-01-01,5.713333
1987-04-01,5.834254
1987-07-01,5.799291
1987-10-01,5.742469
1988-01-01,5.744718
1988-04-01,5.777967
1988-07-01,5.802802
1988-10-01,5.736924
1989-01-01,5.760439
1989-04-01,5.867068
1989-07-01,5.956746
1989-10-01,5.992679
1990-01-01,6.021524
1990-04-01,6.074476
1990-07-01,6.112912
1990-10-01,6.192939
1991-01-01,6.235032
1991-04-01,6.211211
1991-07-01,6.199705
1991-10-01,6.117278
1992-01-01,5.998052
1992-04-01,5.912919
1992-07-01,5.845629
1992-10-01,5.809044
1993-01-01,5.769866
1993-04-01,5.716216
1993-07-01,5.712213
1993-10-01,5.627201
1994-01-01,5.568386
1994-04-01,5.53714
1994-07-01,5.559505
1994-10-01,5.590337
1995-01-01,5.646308
1995-04-01,5.695909
1995-07-01,5.673964
1995-10-01,5.640644
1996-01-01,5.599612
1996-04-01,5.603372
1996-07-01,5.612146
1996-10-01,5.604511
1997-01-01,5.610605
1997-04-01,5.634941
1997-07-01,5.628597
1997-10-01,5.593917
1998-01-01,5.526012
1998-04-01,5.503373
1998-07-01,5.474493
1998-10-01,5.462412
1999-01-01,5.481382
1999-04-01,5.531563
1999-07-01,5.581312
1999-10-01,5.594404
2000-01-01,5.571065
2000-04-01,5.625503
2000-07-01,5.667762
2000-10-01,5.732175
2001-01-01,5.727678
2001-04-01,5.798299
2001-07-01,5.767531
2001-10-01,5.91338
2002-01-01,5.792731
2002-04-01,5.772409
2002-07-01,5.821947
2002-10-01,5.855307
2003-01-01,5.878694
2003-04-01,5.83885
2003-07-01,5.777308
2003-10-01,5.833552
2004-01-01,5.824818
2004-04-01,5.824580
2004-07-01,5.918571
2004-10-01,5.992869
2005-01-01,6.225458
2005-04-01,6.282224
2005-07-01,6.393983
2005-10-01,6.489464
2006-01-01,6.508052
2006-04-01,6.697438
2006-07-01,6.844405
2006-10-01,6.940874
2007-01-01,6.984826
2007-04-01,7.038587
2007-07-01,7.108492
2007-10-01,7.214000
2008-01-01,7.108276
2008-04-01,6.900551
2008-07-01,6.964111
2008-10-01,6.948448
2009-01-01,6.901753
2009-04-01,6.730792
2009-07-01,6.655727
2009-10-01,6.555581
2010-01-01,6.414431
2010-04-01,6.265596
2010-07-01,6.169604
2010-10-01,6.002441
2011-01-01,5.744345
2011-04-01,5.66618
2011-07-01,5.582065
2011-10-01,5.470844
2012-01-01,5.323623
2012-04-01,5.220814
2012-07-01,5.174003
2012-10-01,4.975793
2013-01-01,5.086940
2013-04-01,4.997907
2013-07-01,4.932456
2013-10-01,4.909877
2014-01-01,4.822877
2014-04-01,4.748963
2014-07-01,4.682859
2014-10-01,4.616633
2015-01-01,4.612244
2015-04-01,4.539963
2015-07-01,4.522106
2015-10-01,4.520485
2016-01-01,4.524352
2016-04-01,4.504874
2016-07-01,4.502895
2016-10-01,4.482752
2017-01-01,4.456516
2017-04-01,4.446315
2017-07-01,4.449765
2017-10-01,4.432610
2018-01-01,4.404818
