DATE,MVPHGFD027MNFRBDAL
1942-01-01,57.0
1942-02-01,58.9
1942-03-01,58.8
1942-04-01,61.3
1942-05-01,64.4
1942-06-01,66.8
1942-07-01,70.5
1942-08-01,74.4
1942-09-01,78.9
1942-10-01,83.9
1942-11-01,85.7
1942-12-01,96.5
1943-01-01,99.7
1943-02-01,102.4
1943-03-01,103.4
1943-04-01,118.4
1943-05-01,123.2
1943-06-01,122.6
1943-07-01,125.5
1943-08-01,126.7
1943-09-01,140.7
1943-10-01,146.9
1943-11-01,146.5
1943-12-01,144.5
1944-01-01,148.7
1944-02-01,161.1
1944-03-01,159.8
1944-04-01,158.7
1944-05-01,158.5
1944-06-01,171.7
1944-07-01,179.2
1944-08-01,178.8
1944-09-01,176.9
1944-10-01,176.4
1944-11-01,180.1
1944-12-01,194.8
1945-01-01,197.2
1945-02-01,197.6
1945-03-01,197.2
1945-04-01,197.6
1945-05-01,200.2
1945-06-01,220.1
1945-07-01,220.4
1945-08-01,219.9
1945-09-01,217.7
1945-10-01,217.8
1945-11-01,221.6
1945-12-01,233.8
1946-01-01,236.6
1946-02-01,237.9
1946-03-01,234.7
1946-04-01,230.4
1946-05-01,228.8
1946-06-01,224.4
1946-07-01,221.9
1946-08-01,220.0
1946-09-01,216.7
1946-10-01,215.9
1946-11-01,213.3
1946-12-01,211.3
1947-01-01,211.1
1947-02-01,212.6
1947-03-01,211.7
1947-04-01,210.7
1947-05-01,210.6
1947-06-01,209.6
1947-07-01,210.5
1947-08-01,210.5
1947-09-01,208.8
1947-10-01,207.6
1947-11-01,205.5
1947-12-01,202.3
1948-01-01,202.3
1948-02-01,201.2
1948-03-01,199.7
1948-04-01,199.8
1948-05-01,200.5
1948-06-01,197.9
1948-07-01,198.1
1948-08-01,197.3
1948-09-01,194.6
1948-10-01,194.5
1948-11-01,194.5
1948-12-01,194.7
1949-01-01,195.9
1949-02-01,195.8
1949-03-01,195.4
1949-04-01,196.0
1949-05-01,197.9
1949-06-01,199.3
1949-07-01,201.3
1949-08-01,204.5
1949-09-01,204.3
1949-10-01,205.2
1949-11-01,205.1
1949-12-01,204.4
1950-01-01,204.8
1950-02-01,204.7
1950-03-01,204.5
1950-04-01,204.3
1950-05-01,205.2
1950-06-01,204.2
1950-07-01,204.7
1950-08-01,204.5
1950-09-01,201.3
1950-10-01,200.8
1950-11-01,200.2
1950-12-01,198.7
1951-01-01,197.2
1951-02-01,196.2
1951-03-01,192.5
1951-04-01,191.7
1951-05-01,191.3
1951-06-01,190.4
1951-07-01,191.1
1951-08-01,192.4
1951-09-01,191.2
1951-10-01,190.9
1951-11-01,193.2
1951-12-01,191.8
1952-01-01,193.3
1952-02-01,193.9
1952-03-01,189.7
1952-04-01,193.0
1952-05-01,194.2
1952-06-01,191.9
1952-07-01,195.1
1952-08-01,193.9
1952-09-01,192.1
1952-10-01,195.2
1952-11-01,196.7
1952-12-01,195.1
1953-01-01,195.5
1953-02-01,195.0
1953-03-01,191.5
1953-04-01,190.2
1953-05-01,190.1
1953-06-01,189.7
1953-07-01,196.4
1953-08-01,196.5
1953-09-01,198.0
1953-10-01,199.0
1953-11-01,200.5
1953-12-01,200.8
1954-01-01,202.8
1954-02-01,203.8
1954-03-01,199.5
1954-04-01,201.2
1954-05-01,201.6
1954-06-01,199.4
1954-07-01,200.0
1954-08-01,203.5
1954-09-01,202.8
1954-10-01,206.4
1954-11-01,205.3
1954-12-01,204.8
1955-01-01,204.5
1955-02-01,203.7
1955-03-01,199.6
1955-04-01,202.2
1955-05-01,202.7
1955-06-01,197.7
1955-07-01,199.0
1955-08-01,199.1
1955-09-01,199.5
1955-10-01,202.4
1955-11-01,201.0
1955-12-01,200.7
1956-01-01,202.5
1956-02-01,202.2
1956-03-01,196.3
1956-04-01,195.6
1956-05-01,197.2
1956-06-01,191.9
1956-07-01,190.1
1956-08-01,190.5
1956-09-01,190.0
1956-10-01,190.8
1956-11-01,191.0
1956-12-01,189.4
1957-01-01,193.2
1957-02-01,192.9
1957-03-01,191.6
1957-04-01,190.0
1957-05-01,189.3
1957-06-01,182.6
1957-07-01,184.8
