DATE,RU3000PR
1978-12-29,100.00
1979-01-01,.
1979-01-02,100.62
1979-01-03,101.77
1979-01-04,102.72
1979-01-05,103.41
1979-01-08,103.16
1979-01-09,103.70
1979-01-10,103.18
1979-01-11,103.67
1979-01-12,104.51
1979-01-15,105.20
1979-01-16,104.02
1979-01-17,103.98
1979-01-18,104.46
1979-01-19,104.44
1979-01-22,104.52
1979-01-23,105.21
1979-01-24,104.85
1979-01-25,105.85
1979-01-26,106.52
1979-01-29,106.23
1979-01-30,105.83
1979-01-31,104.65
1979-02-01,104.69
1979-02-02,104.33
1979-02-05,102.88
1979-02-06,102.92
1979-02-07,101.92
1979-02-08,102.44
1979-02-09,102.72
1979-02-12,103.04
1979-02-13,103.83
1979-02-14,103.72
1979-02-15,103.68
1979-02-16,103.71
1979-02-19,.
1979-02-20,104.47
1979-02-21,104.20
1979-02-22,103.40
1979-02-23,102.82
1979-02-26,102.68
1979-02-27,100.96
1979-02-28,101.04
1979-03-01,101.74
1979-03-02,101.87
1979-03-05,102.99
1979-03-06,102.76
1979-03-07,103.45
1979-03-08,104.55
1979-03-09,104.57
1979-03-12,104.73
1979-03-13,105.00
1979-03-14,104.97
1979-03-15,105.23
1979-03-16,106.07
1979-03-19,106.48
1979-03-20,105.93
1979-03-21,106.65
1979-03-22,107.11
1979-03-23,107.14
1979-03-26,106.62
1979-03-27,108.06
1979-03-28,107.72
1979-03-29,107.74
1979-03-30,107.40
1979-04-02,106.67
1979-04-03,108.11
1979-04-04,108.45
1979-04-05,109.10
1979-04-06,109.05
1979-04-09,108.75
1979-04-10,109.24
1979-04-11,108.29
1979-04-12,108.05
1979-04-13,.
1979-04-16,107.16
1979-04-17,107.15
1979-04-18,107.74
1979-04-19,107.37
1979-04-20,107.41
1979-04-23,107.73
1979-04-24,108.32
1979-04-25,108.70
1979-04-26,108.21
1979-04-27,107.98
1979-04-30,107.95
1979-05-01,107.94
1979-05-02,107.99
1979-05-03,108.03
1979-05-04,106.95
1979-05-07,104.99
1979-05-08,104.98
1979-05-09,105.33
1979-05-10,104.42
1979-05-11,104.50
1979-05-14,103.96
1979-05-15,104.06
1979-05-16,104.29
1979-05-17,105.84
1979-05-18,105.95
1979-05-21,106.19
1979-05-22,106.66
1979-05-23,106.18
1979-05-24,106.29
1979-05-25,106.66
1979-05-28,.
1979-05-29,106.55
1979-05-30,105.55
1979-05-31,105.58
1979-06-01,105.71
1979-06-04,105.89
1979-06-05,107.16
1979-06-06,107.90
1979-06-07,108.53
