DATE,TERMCBAUTO48NS
5/1/72,9.96
6/1/72,.
7/1/72,.
8/1/72,10.02
9/1/72,.
10/1/72,.
11/1/72,10.02
12/1/72,.
1/1/73,.
2/1/73,10.05
3/1/73,.
4/1/73,.
5/1/73,10.05
6/1/73,.
7/1/73,.
8/1/73,10.25
9/1/73,.
10/1/73,.
11/1/73,10.49
12/1/73,.
1/1/74,.
2/1/74,10.53
3/1/74,.
4/1/74,.
5/1/74,10.63
6/1/74,.
7/1/74,.
8/1/74,11.15
9/1/74,.
10/1/74,.
11/1/74,11.57
12/1/74,.
1/1/75,.
2/1/75,11.51
3/1/75,.
4/1/75,.
5/1/75,11.39
6/1/75,.
7/1/75,.
8/1/75,11.31
9/1/75,.
10/1/75,.
11/1/75,11.24
12/1/75,.
1/1/76,.
2/1/76,11.18
3/1/76,.
4/1/76,.
5/1/76,11.01
6/1/76,.
7/1/76,.
8/1/76,11.07
9/1/76,.
10/1/76,.
11/1/76,11.02
12/1/76,.
1/1/77,.
2/1/77,11.14
3/1/77,.
4/1/77,.
5/1/77,10.81
6/1/77,.
7/1/77,.
8/1/77,10.86
9/1/77,.
10/1/77,.
11/1/77,10.86
12/1/77,.
1/1/78,.
2/1/78,10.86
3/1/78,.
4/1/78,.
5/1/78,10.84
6/1/78,.
7/1/78,.
8/1/78,11.09
9/1/78,.
10/1/78,.
11/1/78,11.29
12/1/78,.
1/1/79,.
2/1/79,11.6
3/1/79,.
4/1/79,.
5/1/79,11.73
6/1/79,.
7/1/79,.
8/1/79,11.88
9/1/79,.
10/1/79,.
11/1/79,12.85
12/1/79,.
1/1/80,.
2/1/80,13.28
3/1/80,.
4/1/80,.
5/1/80,15.72
6/1/80,.
7/1/80,.
8/1/80,13.91
9/1/80,.
10/1/80,.
11/1/80,14.29
12/1/80,.
1/1/81,.
2/1/81,15.84
3/1/81,.
4/1/81,.
5/1/81,16.04
6/1/81,.
7/1/81,.
8/1/81,16.92
9/1/81,.
10/1/81,.
11/1/81,17.36
12/1/81,.
1/1/82,.
2/1/82,17.05
3/1/82,.
4/1/82,.
5/1/82,17.2
6/1/82,.
7/1/82,.
8/1/82,17.08
9/1/82,.
10/1/82,.
11/1/82,15.97
12/1/82,.
1/1/83,.
2/1/83,14.81
3/1/83,.
4/1/83,.
5/1/83,13.9
6/1/83,.
7/1/83,.
8/1/83,13.5
9/1/83,.
10/1/83,.
11/1/83,13.46
12/1/83,.
1/1/84,.
2/1/84,13.32
3/1/84,.
4/1/84,.
5/1/84,13.53
6/1/84,.
7/1/84,.
8/1/84,14.08
9/1/84,.
10/1/84,.
11/1/84,13.91
12/1/84,.
1/1/85,.
2/1/85,13.37
3/1/85,.
4/1/85,.
5/1/85,13.16
6/1/85,.
7/1/85,.
8/1/85,12.72
9/1/85,.
10/1/85,.
11/1/85,12.39
12/1/85,.
1/1/86,.
2/1/86,12.29
3/1/86,.
4/1/86,.
5/1/86,11.45
6/1/86,.
7/1/86,.
8/1/86,11
9/1/86,.
10/1/86,.
11/1/86,10.58
12/1/86,.
1/1/87,.
2/1/87,10.35
3/1/87,.
4/1/87,.
5/1/87,10.23
6/1/87,.
7/1/87,.
8/1/87,10.37
9/1/87,.
10/1/87,.
11/1/87,10.86
12/1/87,.
1/1/88,.
2/1/88,10.72
3/1/88,.
4/1/88,.
5/1/88,10.55
6/1/88,.
7/1/88,.
8/1/88,10.93
9/1/88,.
10/1/88,.
11/1/88,11.22
12/1/88,.
1/1/89,.
2/1/89,11.76
3/1/89,.
4/1/89,.
5/1/89,12.44
6/1/89,.
7/1/89,.
8/1/89,12.13
9/1/89,.
10/1/89,.
11/1/89,11.94
12/1/89,.
1/1/90,.
2/1/90,11.8
3/1/90,.
4/1/90,.
5/1/90,11.82
6/1/90,.
7/1/90,.
8/1/90,11.89
9/1/90,.
10/1/90,.
11/1/90,11.62
12/1/90,.
1/1/91,.
2/1/91,11.6
3/1/91,.
4/1/91,.
5/1/91,11.28
6/1/91,.
7/1/91,.
8/1/91,11.06
9/1/91,.
10/1/91,.
11/1/91,10.61
12/1/91,.
1/1/92,.
2/1/92,9.89
3/1/92,.
4/1/92,.
5/1/92,9.52
6/1/92,.
7/1/92,.
