DATE,USPRIV
1939-01-01,25935
1939-02-01,26100
1939-03-01,26278
1939-04-01,26092
1939-05-01,26294
1939-06-01,26499
1939-07-01,26400
1939-08-01,26617
1939-09-01,26956
1939-10-01,27319
1939-11-01,27360
1939-12-01,27405
1940-01-01,27453
1940-02-01,27565
1940-03-01,27675
1940-04-01,27548
1940-05-01,27708
1940-06-01,27760
1940-07-01,27681
1940-08-01,28070
1940-09-01,28498
1940-10-01,28912
1940-11-01,29272
1940-12-01,29757
1941-01-01,30012
1941-02-01,30340
1941-03-01,30559
1941-04-01,30884
1941-05-01,31540
1941-06-01,31950
1941-07-01,32387
1941-08-01,32723
1941-09-01,32944
1941-10-01,33041
1941-11-01,33075
1941-12-01,33133
1942-01-01,33258
1942-02-01,33367
1942-03-01,33679
1942-04-01,33995
1942-05-01,34341
1942-06-01,34518
1942-07-01,34880
1942-08-01,35174
1942-09-01,35389
1942-10-01,35559
1942-11-01,35647
1942-12-01,35843
1943-01-01,36040
1943-02-01,36172
1943-03-01,36296
1943-04-01,36380
1943-05-01,36315
1943-06-01,36457
1943-07-01,36444
1943-08-01,36395
1943-09-01,36318
1943-10-01,36505
1943-11-01,36641
1943-12-01,36475
1944-01-01,36493
1944-02-01,36415
1944-03-01,36179
1944-04-01,35951
1944-05-01,35864
1944-06-01,35800
1944-07-01,35715
1944-08-01,35646
1944-09-01,35456
1944-10-01,35486
1944-11-01,35449
1944-12-01,35486
1945-01-01,35643
1945-02-01,35665
1945-03-01,35580
1945-04-01,35258
1945-05-01,35145
1945-06-01,34968
1945-07-01,34688
1945-08-01,34332
1945-09-01,32558
1945-10-01,32745
1945-11-01,33167
1945-12-01,33301
1946-01-01,34047
1946-02-01,33473
1946-03-01,34435
1946-04-01,35148
1946-05-01,35617
1946-06-01,36053
1946-07-01,36471
1946-08-01,36962
1946-09-01,37240
1946-10-01,37430
1946-11-01,37758
1946-12-01,37751
1947-01-01,37920
1947-02-01,37957
1947-03-01,38018
1947-04-01,37934
1947-05-01,38087
1947-06-01,38284
1947-07-01,38219
1947-08-01,38440
1947-09-01,38662
1947-10-01,38849
1947-11-01,38902
1947-12-01,38974
1948-01-01,39058
1948-02-01,38922
1948-03-01,39058
1948-04-01,38727
1948-05-01,39114
1948-06-01,39297
1948-07-01,39386
1948-08-01,39385
1948-09-01,39490
1948-10-01,39422
1948-11-01,39325
1948-12-01,39141
1949-01-01,38777
1949-02-01,38607
1949-03-01,38323
1949-04-01,38282
1949-05-01,38020
1949-06-01,37783
1949-07-01,37567
1949-08-01,37637
1949-09-01,37794
1949-10-01,36980
1949-11-01,37295
1949-12-01,37565
1950-01-01,37594
1950-02-01,37372
1950-03-01,37874
1950-04-01,38282
1950-05-01,38675
1950-06-01,39062
1950-07-01,39364
1950-08-01,40001
1950-09-01,40214
1950-10-01,40463
1950-11-01,40516
1950-12-01,40541
1951-01-01,40936
1951-02-01,41195
1951-03-01,41461
1951-04-01,41405
1951-05-01,41536
1951-06-01,41569
1951-07-01,41524
1951-08-01,41490
1951-09-01,41403
1951-10-01,41432
1951-11-01,41522
1951-12-01,41621
1952-01-01,41709
1952-02-01,41872
1952-03-01,41842
1952-04-01,41954
1952-05-01,41951
1952-06-01,41574
1952-07-01,41407
1952-08-01,42205
1952-09-01,42585
1952-10-01,42782
1952-11-01,43015
1952-12-01,43229
1953-01-01,43351
1953-02-01,43542
1953-03-01,43691
1953-04-01,43662
1953-05-01,43774
1953-06-01,43788
1953-07-01,43813
1953-08-01,43733
1953-09-01,43616
1953-10-01,43478
1953-11-01,43158
1953-12-01,42959
1954-01-01,42708
1954-02-01,42599
1954-03-01,42362
1954-04-01,42372
1954-05-01,42136
1954-06-01,42050
1954-07-01,41967
1954-08-01,41933
1954-09-01,41988
1954-10-01,42044
1954-11-01,42214
1954-12-01,42374
1955-01-01,42544
1955-02-01,42721
1955-03-01,43025
1955-04-01,43288
1955-05-01,43521
1955-06-01,43770
1955-07-01,43936
1955-08-01,44088
1955-09-01,44195
1955-10-01,44313
1955-11-01,44509
1955-12-01,44673
1956-01-01,44808
1956-02-01,44955
1956-03-01,45043
1956-04-01,45099
1956-05-01,45139
1956-06-01,45217
1956-07-01,44549
1956-08-01,45179
1956-09-01,45120
1956-10-01,45262
1956-11-01,45269
1956-12-01,45346
1957-01-01,45268
1957-02-01,45451
1957-03-01,45485
1957-04-01,45537
1957-05-01,45436
1957-06-01,45364
1957-07-01,45369
1957-08-01,45369
1957-09-01,45183
1957-10-01,44997
1957-11-01,44790
1957-12-01,44539
1958-01-01,44256
1958-02-01,43744
1958-03-01,43452
1958-04-01,43159
1958-05-01,43019
1958-06-01,42986
1958-07-01,43065
1958-08-01,43219
1958-09-01,43490
1958-10-01,43455
1958-11-01,43916
1958-12-01,43988
1959-01-01,44375
1959-02-01,44571
1959-03-01,44884
1959-04-01,45178
1959-05-01,45396
1959-06-01,45536
1959-07-01,45630
1959-08-01,45153
1959-09-01,45190
1959-10-01,45094
1959-11-01,45351
1959-12-01,45807
1960-01-01,45967
1960-02-01,46187
1960-03-01,45933
1960-04-01,46278
1960-05-01,46041
1960-06-01,45915
1960-07-01,45862
1960-08-01,45799
1960-09-01,45734
1960-10-01,45642
1960-11-01,45446
1960-12-01,45147
1961-01-01,45119
1961-02-01,44969
1961-03-01,45051
1961-04-01,44997
1961-05-01,45121
1961-06-01,45289
1961-07-01,45399
1961-08-01,45534
1961-09-01,45592
1961-10-01,45717
1961-11-01,45931
1961-12-01,46035
1962-01-01,46040
1962-02-01,46309
1962-03-01,46375
1962-04-01,46680
1962-05-01,46669
1962-06-01,46644
1962-07-01,46720
1962-08-01,46775
1962-09-01,46888
1962-10-01,46927
1962-11-01,46911
1962-12-01,46902
1963-01-01,46912
1963-02-01,46999
1963-03-01,47077
1963-04-01,47316
1963-05-01,47328
1963-06-01,47356
1963-07-01,47460
1963-08-01,47542
1963-09-01,47660
1963-10-01,47805
1963-11-01,47771
1963-12-01,47863
1964-01-01,47925
1964-02-01,48170
1964-03-01,48287
1964-04-01,48278
1964-05-01,48419
1964-06-01,48552
1964-07-01,48736
1964-08-01,48887
1964-09-01,49117
1964-10-01,48949
1964-11-01,49338
1964-12-01,49524
1965-01-01,49646
1965-02-01,49826
1965-03-01,49993
1965-04-01,50208
1965-05-01,50398
1965-06-01,50562
1965-07-01,50762
1965-08-01,50957
1965-09-01,51152
1965-10-01,51340
1965-11-01,51561
1965-12-01,51822
1966-01-01,51987
1966-02-01,52185
1966-03-01,52500
1966-04-01,52677
1966-05-01,52890
1966-06-01,53208
1966-07-01,53327
1966-08-01,53501
1966-09-01,53581
1966-10-01,53727
1966-11-01,53816
1966-12-01,53944
1967-01-01,54092
1967-02-01,54075
1967-03-01,54133
1967-04-01,54032
1967-05-01,54145
1967-06-01,54216
1967-07-01,54343
1967-08-01,54552
1967-09-01,54541
1967-10-01,54583
1967-11-01,55008
1967-12-01,55165
1968-01-01,55011
1968-02-01,55396
1968-03-01,55453
1968-04-01,55677
1968-05-01,55748
1968-06-01,55917
1968-07-01,56107
1968-08-01,56286
1968-09-01,56420
1968-10-01,56619
1968-11-01,56878
1968-12-01,57101
1969-01-01,57229
1969-02-01,57476
1969-03-01,57676
1969-04-01,57827
1969-05-01,58044
1969-06-01,58277
1969-07-01,58389
1969-08-01,58633
1969-09-01,58538
1969-10-01,58690
1969-11-01,58639
1969-12-01,58763
1970-01-01,58680
1970-02-01,58786
1970-03-01,58849
1970-04-01,58643
1970-05-01,58455
1970-06-01,58362
1970-07-01,58356
1970-08-01,58222
1970-09-01,58207
1970-10-01,57726
1970-11-01,57579
1970-12-01,57945
1971-01-01,57988
1971-02-01,57929
1971-03-01,57951
1971-04-01,58092
1971-05-01,58277
1971-06-01,58245
1971-07-01,58304
1971-08-01,58329
1971-09-01,58549
1971-10-01,58527
1971-11-01,58698
1971-12-01,58918
1972-01-01,59179
1972-02-01,59354
1972-03-01,59616
1972-04-01,59805
1972-05-01,60051
1972-06-01,60355
1972-07-01,60226
1972-08-01,60608
1972-09-01,60688
1972-10-01,61067
1972-11-01,61324
1972-12-01,61586
1973-01-01,61931
1973-02-01,62306
1973-03-01,62540
1973-04-01,62678
1973-05-01,62829
1973-06-01,63015
1973-07-01,63046
1973-08-01,63262
1973-09-01,63384
1973-10-01,63629
1973-11-01,63877
1973-12-01,63965
1974-01-01,64014
1974-02-01,64119
1974-03-01,64144
1974-04-01,64191
1974-05-01,64326
1974-06-01,64363
1974-07-01,64347
1974-08-01,64291
1974-09-01,64189
1974-10-01,64145
1974-11-01,63729
1974-12-01,63098
1975-01-01,62673
1975-02-01,62172
1975-03-01,61895
1975-04-01,61666
1975-05-01,61796
1975-06-01,61736
1975-07-01,61908
1975-08-01,62285
1975-09-01,62406
1975-10-01,62635
1975-11-01,62777
1975-12-01,63072
1976-01-01,63537
1976-02-01,63836
1976-03-01,64062
1976-04-01,64307
1976-05-01,64340
1976-06-01,64413
1976-07-01,64554
1976-08-01,64697
1976-09-01,64921
1976-10-01,64877
1976-11-01,65164
1976-12-01,65373
1977-01-01,65636
1977-02-01,65932
1977-03-01,66341
1977-04-01,66654
1977-05-01,66957
1977-06-01,67281
1977-07-01,67537
1977-08-01,67746
1977-09-01,68129
1977-10-01,68331
1977-11-01,68658
1977-12-01,68870
1978-01-01,68984
1978-02-01,69277
1978-03-01,69730
1978-04-01,70366
1978-05-01,70675
1978-06-01,71099
1978-07-01,71304
1978-08-01,71590
1978-09-01,71799
1978-10-01,72096
1978-11-01,72497
1978-12-01,72762
1979-01-01,72873
1979-02-01,73107
1979-03-01,73524
1979-04-01,73441
1979-05-01,73801
1979-06-01,74064
1979-07-01,74065
