DATE,USSLIND
1982-01-01,-0.87
1982-02-01,-0.39
1982-03-01,-0.16
1982-04-01,-0.12
1982-05-01,-0.07
1982-06-01,-0.06
1982-07-01,-0.10
1982-08-01,-0.26
1982-09-01,-0.26
1982-10-01,-0.07
1982-11-01,0.38
1982-12-01,0.84
1983-01-01,1.42
1983-02-01,1.62
1983-03-01,1.73
1983-04-01,1.80
1983-05-01,2.02
1983-06-01,2.51
1983-07-01,2.92
1983-08-01,2.47
1983-09-01,2.73
1983-10-01,3.04
1983-11-01,3.30
1983-12-01,2.88
1984-01-01,2.97
1984-02-01,3.18
1984-03-01,2.91
1984-04-01,2.57
1984-05-01,2.40
1984-06-01,2.35
1984-07-01,2.10
1984-08-01,1.83
1984-09-01,1.93
1984-10-01,1.86
1984-11-01,1.92
1984-12-01,1.81
1985-01-01,2.12
1985-02-01,1.90
1985-03-01,1.96
1985-04-01,1.92
1985-05-01,2.05
1985-06-01,1.87
1985-07-01,1.83
1985-08-01,1.96
1985-09-01,1.97
1985-10-01,2.02
1985-11-01,1.83
1985-12-01,1.91
1986-01-01,1.99
1986-02-01,1.48
1986-03-01,1.26
1986-04-01,1.41
1986-05-01,1.45
1986-06-01,1.39
1986-07-01,1.50
1986-08-01,1.45
1986-09-01,1.68
1986-10-01,1.63
1986-11-01,1.67
1986-12-01,2.20
1987-01-01,1.68
1987-02-01,1.84
1987-03-01,1.78
1987-04-01,1.98
1987-05-01,2.09
1987-06-01,1.85
1987-07-01,2.08
1987-08-01,1.92
1987-09-01,1.95
1987-10-01,2.01
1987-11-01,2.06
1987-12-01,1.95
1988-01-01,1.34
1988-02-01,1.94
1988-03-01,2.07
1988-04-01,2.21
1988-05-01,1.90
1988-06-01,2.15
1988-07-01,1.98
1988-08-01,1.74
1988-09-01,1.53
1988-10-01,1.95
1988-11-01,2.05
1988-12-01,1.89
1989-01-01,1.86
1989-02-01,1.73
1989-03-01,1.62
1989-04-01,1.47
1989-05-01,1.09
1989-06-01,0.85
1989-07-01,0.73
1989-08-01,1.02
1989-09-01,1.04
1989-10-01,0.96
1989-11-01,1.17
1989-12-01,1.19
1990-01-01,1.61
1990-02-01,1.38
1990-03-01,1.62
1990-04-01,1.27
1990-05-01,1.07
1990-06-01,1.02
1990-07-01,0.61
1990-08-01,0.36
1990-09-01,-0.16
1990-10-01,-0.13
1990-11-01,-0.34
1990-12-01,-0.34
1991-01-01,-0.25
1991-02-01,-0.34
1991-03-01,-0.35
1991-04-01,0.03
1991-05-01,0.43
1991-06-01,0.82
1991-07-01,1.18
1991-08-01,0.87
1991-09-01,0.89
1991-10-01,0.77
1991-11-01,0.66
1991-12-01,0.67
1992-01-01,0.76
1992-02-01,0.94
1992-03-01,1.09
1992-04-01,1.19
1992-05-01,1.31
1992-06-01,1.26
1992-07-01,1.13
1992-08-01,1.23
1992-09-01,1.38
1992-10-01,1.72
1992-11-01,1.72
1992-12-01,2.20
1993-01-01,1.84
1993-02-01,2.15
1993-03-01,1.68
1993-04-01,1.72
1993-05-01,1.51
1993-06-01,1.62
1993-07-01,1.89
1993-08-01,1.95
1993-09-01,1.99
1993-10-01,1.72
1993-11-01,2.05
1993-12-01,2.24
1994-01-01,1.91
1994-02-01,1.92
1994-03-01,1.93
1994-04-01,2.06
1994-05-01,2.03
1994-06-01,2.13
1994-07-01,2.11
1994-08-01,2.33
1994-09-01,2.02
1994-10-01,2.03
1994-11-01,2.10
1994-12-01,2.06
1995-01-01,1.93
1995-02-01,1.59
1995-03-01,1.49
1995-04-01,1.11
1995-05-01,0.96
1995-06-01,1.06
1995-07-01,1.05
1995-08-01,1.54
1995-09-01,1.41
1995-10-01,1.65
1995-11-01,1.38
1995-12-01,1.35
1996-01-01,1.34
1996-02-01,1.34
1996-03-01,1.31
1996-04-01,1.57
1996-05-01,1.71
1996-06-01,2.00
1996-07-01,1.91
1996-08-01,1.91
1996-09-01,1.66
1996-10-01,1.57
1996-11-01,1.42
1996-12-01,1.38
1997-01-01,1.55
1997-02-01,1.75
1997-03-01,1.95
1997-04-01,1.83
1997-05-01,1.94
1997-06-01,1.84
1997-07-01,1.95
1997-08-01,1.50
1997-09-01,1.84
1997-10-01,1.93
1997-11-01,1.96
1997-12-01,1.99
1998-01-01,1.77
1998-02-01,1.76
1998-03-01,1.54
1998-04-01,1.78
1998-05-01,1.88
1998-06-01,1.56
1998-07-01,1.54
1998-08-01,1.58
1998-09-01,1.85
1998-10-01,1.60
1998-11-01,1.64
1998-12-01,1.77
1999-01-01,1.55
1999-02-01,1.76
1999-03-01,1.76
1999-04-01,1.72
1999-05-01,1.60
1999-06-01,1.58
1999-07-01,1.77
1999-08-01,1.66
1999-09-01,1.54
1999-10-01,1.63
1999-11-01,1.88
1999-12-01,1.81
2000-01-01,1.52
2000-02-01,1.39
