DATE,WILLREITIND
1977-12-30,100.00
1978-01-02,.
1978-01-03,.
1978-01-04,.
1978-01-05,.
1978-01-06,.
1978-01-09,.
1978-01-10,.
1978-01-11,.
1978-01-12,.
1978-01-13,.
1978-01-16,.
1978-01-17,.
1978-01-18,.
1978-01-19,.
1978-01-20,.
1978-01-23,.
1978-01-24,.
1978-01-25,.
1978-01-26,.
1978-01-27,.
1978-01-30,.
1978-01-31,97.15
1978-02-01,.
1978-02-02,.
1978-02-03,.
1978-02-06,.
1978-02-07,.
1978-02-08,.
1978-02-09,.
1978-02-10,.
1978-02-13,.
1978-02-14,.
1978-02-15,.
1978-02-16,.
1978-02-17,.
1978-02-20,.
1978-02-21,.
1978-02-22,.
1978-02-23,.
1978-02-24,.
1978-02-27,.
1978-02-28,99.19
1978-03-01,.
1978-03-02,.
1978-03-03,.
1978-03-06,.
1978-03-07,.
1978-03-08,.
1978-03-09,.
1978-03-10,.
1978-03-13,.
1978-03-14,.
1978-03-15,.
1978-03-16,.
1978-03-17,.
1978-03-20,.
1978-03-21,.
1978-03-22,.
1978-03-23,.
1978-03-24,.
1978-03-27,.
1978-03-28,.
1978-03-29,.
1978-03-30,.
1978-03-31,106.90
1978-04-03,.
1978-04-04,.
1978-04-05,.
1978-04-06,.
1978-04-07,.
1978-04-10,.
1978-04-11,.
1978-04-12,.
1978-04-13,.
1978-04-14,.
1978-04-17,.
1978-04-18,.
1978-04-19,.
1978-04-20,.
1978-04-21,.
1978-04-24,.
1978-04-25,.
1978-04-26,.
1978-04-27,.
1978-04-28,112.04
1978-05-01,.
1978-05-02,.
1978-05-03,.
1978-05-04,.
1978-05-05,.
1978-05-08,.
1978-05-09,.
1978-05-10,.
1978-05-11,.
1978-05-12,.
1978-05-15,.
1978-05-16,.
1978-05-17,.
1978-05-18,.
1978-05-19,.
1978-05-22,.
1978-05-23,.
1978-05-24,.
1978-05-25,.
1978-05-26,.
1978-05-29,.
1978-05-30,.
1978-05-31,110.16
1978-06-01,.
1978-06-02,.
1978-06-05,.
1978-06-06,.
1978-06-07,.
1978-06-08,.
1978-06-09,.
1978-06-12,.
1978-06-13,.
1978-06-14,.
1978-06-15,.
1978-06-16,.
1978-06-19,.
1978-06-20,.
1978-06-21,.
1978-06-22,.
1978-06-23,.
1978-06-26,.
1978-06-27,.
1978-06-28,.
1978-06-29,.
1978-06-30,107.95
1978-07-03,.
1978-07-04,.
1978-07-05,.
1978-07-06,.
1978-07-07,.
1978-07-10,.
1978-07-11,.
1978-07-12,.
1978-07-13,.
1978-07-14,.
1978-07-17,.
1978-07-18,.
1978-07-19,.
1978-07-20,.
1978-07-21,.
1978-07-24,.
1978-07-25,.
1978-07-26,.
1978-07-27,.
1978-07-28,.
1978-07-31,112.16
1978-08-01,.
1978-08-02,.
1978-08-03,.
1978-08-04,.
1978-08-07,.
1978-08-08,.
1978-08-09,.
1978-08-10,.
1978-08-11,.
1978-08-14,.
1978-08-15,.
1978-08-16,.
1978-08-17,.
1978-08-18,.
